Country or Area,Item,Year,Value
Austria,"International tourism, number of arrivals",2020,
Azerbaijan,"International tourism, number of arrivals",2018,2850000
Azerbaijan,"International tourism, number of arrivals",2019,3170000
Azerbaijan,"International tourism, number of arrivals",2020,
Burundi,"International tourism, number of arrivals",2018,
Burundi,"International tourism, number of arrivals",2019,
Burundi,"International tourism, number of arrivals",2020,
Belgium,"International tourism, number of arrivals",2018,9119000
Belgium,"International tourism, number of arrivals",2019,9343000
Belgium,"International tourism, number of arrivals",2020,
Benin,"International tourism, number of arrivals",2018,322000
Benin,"International tourism, number of arrivals",2019,337000
Benin,"International tourism, number of arrivals",2020,
Burkina Faso,"International tourism, number of arrivals",2018,144000
Burkina Faso,"International tourism, number of arrivals",2019,143000
Burkina Faso,"International tourism, number of arrivals",2020,
Bangladesh,"International tourism, number of arrivals",2018,267000
Bangladesh,"International tourism, number of arrivals",2019,323000
Bangladesh,"International tourism, number of arrivals",2020,
Bulgaria,"International tourism, number of arrivals",2018,12368000
Bulgaria,"International tourism, number of arrivals",2019,12552000
Bulgaria,"International tourism, number of arrivals",2020,
Bahrain,"International tourism, number of arrivals",2018,12045000
Bahrain,"International tourism, number of arrivals",2019,11061000
Bahrain,"International tourism, number of arrivals",2020,
"Bahamas, The","International tourism, number of arrivals",2018,6622000
"Bahamas, The","International tourism, number of arrivals",2019,7250000
"Bahamas, The","International tourism, number of arrivals",2020,
Bosnia and Herzegovina,"International tourism, number of arrivals",2018,1053000
Bosnia and Herzegovina,"International tourism, number of arrivals",2019,1198000
Bosnia and Herzegovina,"International tourism, number of arrivals",2020,
Belarus,"International tourism, number of arrivals",2018,11502000
Belarus,"International tourism, number of arrivals",2019,11832000
Belarus,"International tourism, number of arrivals",2020,
Belize,"International tourism, number of arrivals",2018,1697000
Belize,"International tourism, number of arrivals",2019,1674000
Belize,"International tourism, number of arrivals",2020,
Bermuda,"International tourism, number of arrivals",2018,766000
Bermuda,"International tourism, number of arrivals",2019,805000
Bermuda,"International tourism, number of arrivals",2020,
Bolivia,"International tourism, number of arrivals",2018,1142000
Bolivia,"International tourism, number of arrivals",2019,1239000
Bolivia,"International tourism, number of arrivals",2020,
Brazil,"International tourism, number of arrivals",2018,6621000
Brazil,"International tourism, number of arrivals",2019,6353000
Brazil,"International tourism, number of arrivals",2020,
Barbados,"International tourism, number of arrivals",2018,1356000
Barbados,"International tourism, number of arrivals",2019,966000
Barbados,"International tourism, number of arrivals",2020,
Brunei Darussalam,"International tourism, number of arrivals",2018,278000
Brunei Darussalam,"International tourism, number of arrivals",2019,333000
Brunei Darussalam,"International tourism, number of arrivals",2020,
Bhutan,"International tourism, number of arrivals",2018,274000
Bhutan,"International tourism, number of arrivals",2019,316000
Bhutan,"International tourism, number of arrivals",2020,
Botswana,"International tourism, number of arrivals",2018,1830000
Botswana,"International tourism, number of arrivals",2019,
Botswana,"International tourism, number of arrivals",2020,
Central African Republic,"International tourism, number of arrivals",2018,109000
Central African Republic,"International tourism, number of arrivals",2019,
Central African Republic,"International tourism, number of arrivals",2020,
Canada,"International tourism, number of arrivals",2018,31274000
Canada,"International tourism, number of arrivals",2019,32430000
Canada,"International tourism, number of arrivals",2020,
Central Europe and the Baltics,"International tourism, number of arrivals",2018,301502122.473578
Central Europe and the Baltics,"International tourism, number of arrivals",2019,314638365.070248
Central Europe and the Baltics,"International tourism, number of arrivals",2020,
Switzerland,"International tourism, number of arrivals",2018,11715000
Switzerland,"International tourism, number of arrivals",2019,11818000
Switzerland,"International tourism, number of arrivals",2020,
Channel Islands,"International tourism, number of arrivals",2018,
Channel Islands,"International tourism, number of arrivals",2019,
Channel Islands,"International tourism, number of arrivals",2020,
Chile,"International tourism, number of arrivals",2018,6603000
Chile,"International tourism, number of arrivals",2019,5431000
Chile,"International tourism, number of arrivals",2020,
China,"International tourism, number of arrivals",2018,158606000
China,"International tourism, number of arrivals",2019,162538000
China,"International tourism, number of arrivals",2020,
Cote d'Ivoire,"International tourism, number of arrivals",2018,1965000
Cote d'Ivoire,"International tourism, number of arrivals",2019,2070000
Cote d'Ivoire,"International tourism, number of arrivals",2020,
Cameroon,"International tourism, number of arrivals",2018,997000
Cameroon,"International tourism, number of arrivals",2019,
Cameroon,"International tourism, number of arrivals",2020,
"Congo, Dem. Rep.","International tourism, number of arrivals",2018,
"Congo, Dem. Rep.","International tourism, number of arrivals",2019,
"Congo, Dem. Rep.","International tourism, number of arrivals",2020,
"Congo, Rep.","International tourism, number of arrivals",2018,158000
"Congo, Rep.","International tourism, number of arrivals",2019,
"Congo, Rep.","International tourism, number of arrivals",2020,
Colombia,"International tourism, number of arrivals",2018,4398000
Colombia,"International tourism, number of arrivals",2019,4529000
Colombia,"International tourism, number of arrivals",2020,
Comoros,"International tourism, number of arrivals",2018,35900.0015258789
Comoros,"International tourism, number of arrivals",2019,45099.9984741211
Comoros,"International tourism, number of arrivals",2020,
Cabo Verde,"International tourism, number of arrivals",2018,710000
Cabo Verde,"International tourism, number of arrivals",2019,758000
Cabo Verde,"International tourism, number of arrivals",2020,
Costa Rica,"International tourism, number of arrivals",2018,3313000
Costa Rica,"International tourism, number of arrivals",2019,3366000
Costa Rica,"International tourism, number of arrivals",2020,
Caribbean small states,"International tourism, number of arrivals",2018,19669834.9167994
Caribbean small states,"International tourism, number of arrivals",2019,19819087.2645395
Caribbean small states,"International tourism, number of arrivals",2020,
Cuba,"International tourism, number of arrivals",2018,4712000
Cuba,"International tourism, number of arrivals",2019,4276000
Cuba,"International tourism, number of arrivals",2020,
Curacao,"International tourism, number of arrivals",2018,1210000
Curacao,"International tourism, number of arrivals",2019,1293000
Curacao,"International tourism, number of arrivals",2020,
Cayman Islands,"International tourism, number of arrivals",2018,2384000
Cayman Islands,"International tourism, number of arrivals",2019,2334000
Cayman Islands,"International tourism, number of arrivals",2020,
Cyprus,"International tourism, number of arrivals",2018,4024000
Cyprus,"International tourism, number of arrivals",2019,4117000
Cyprus,"International tourism, number of arrivals",2020,
Czech Republic,"International tourism, number of arrivals",2018,36268000
Czech Republic,"International tourism, number of arrivals",2019,
Czech Republic,"International tourism, number of arrivals",2020,
Germany,"International tourism, number of arrivals",2018,38881000
Germany,"International tourism, number of arrivals",2019,39563000
Germany,"International tourism, number of arrivals",2020,
Djibouti,"International tourism, number of arrivals",2018,
Djibouti,"International tourism, number of arrivals",2019,
Djibouti,"International tourism, number of arrivals",2020,
Dominica,"International tourism, number of arrivals",2018,199000
Dominica,"International tourism, number of arrivals",2019,322000
Dominica,"International tourism, number of arrivals",2020,
Denmark,"International tourism, number of arrivals",2018,30801000
Denmark,"International tourism, number of arrivals",2019,32903000
Denmark,"International tourism, number of arrivals",2020,
Dominican Republic,"International tourism, number of arrivals",2018,7551000
Dominican Republic,"International tourism, number of arrivals",2019,7550000
Dominican Republic,"International tourism, number of arrivals",2020,
Algeria,"International tourism, number of arrivals",2018,2657000
Algeria,"International tourism, number of arrivals",2019,2371000
Algeria,"International tourism, number of arrivals",2020,
East Asia & Pacific (excluding high income),"International tourism, number of arrivals",2018,281199029.452992
East Asia & Pacific (excluding high income),"International tourism, number of arrivals",2019,292914980.541575
East Asia & Pacific (excluding high income),"International tourism, number of arrivals",2020,
Early-demographic dividend,"International tourism, number of arrivals",2018,350576700.187856
Early-demographic dividend,"International tourism, number of arrivals",2019,369336988.869679
Early-demographic dividend,"International tourism, number of arrivals",2020,
East Asia & Pacific,"International tourism, number of arrivals",2018,476456920.292366
East Asia & Pacific,"International tourism, number of arrivals",2019,487076537.178296
East Asia & Pacific,"International tourism, number of arrivals",2020,
Europe & Central Asia (excluding high income),"International tourism, number of arrivals",2018,168938759.976666
Europe & Central Asia (excluding high income),"International tourism, number of arrivals",2019,180724280.37354
Europe & Central Asia (excluding high income),"International tourism, number of arrivals",2020,
Europe & Central Asia,"International tourism, number of arrivals",2018,1140489222.88875
Europe & Central Asia,"International tourism, number of arrivals",2019,1183445651.59356
Europe & Central Asia,"International tourism, number of arrivals",2020,
Ecuador,"International tourism, number of arrivals",2018,2535000
Ecuador,"International tourism, number of arrivals",2019,2108000
Ecuador,"International tourism, number of arrivals",2020,
"Egypt, Arab Rep.","International tourism, number of arrivals",2018,11346000
"Egypt, Arab Rep.","International tourism, number of arrivals",2019,13026000
"Egypt, Arab Rep.","International tourism, number of arrivals",2020,
Euro area,"International tourism, number of arrivals",2018,631498886.527501
Euro area,"International tourism, number of arrivals",2019,
Euro area,"International tourism, number of arrivals",2020,
Eritrea,"International tourism, number of arrivals",2018,
Eritrea,"International tourism, number of arrivals",2019,
Eritrea,"International tourism, number of arrivals",2020,
Spain,"International tourism, number of arrivals",2018,124456000
Spain,"International tourism, number of arrivals",2019,126170000
Spain,"International tourism, number of arrivals",2020,
Estonia,"International tourism, number of arrivals",2018,6033000
Estonia,"International tourism, number of arrivals",2019,6103000
Estonia,"International tourism, number of arrivals",2020,
Ethiopia,"International tourism, number of arrivals",2018,849000
Ethiopia,"International tourism, number of arrivals",2019,812000
Ethiopia,"International tourism, number of arrivals",2020,
European Union,"International tourism, number of arrivals",2018,934880666.110996
European Union,"International tourism, number of arrivals",2019,966435420.872104
European Union,"International tourism, number of arrivals",2020,
Fragile and conflict affected situations,"International tourism, number of arrivals",2018,
Fragile and conflict affected situations,"International tourism, number of arrivals",2019,
Fragile and conflict affected situations,"International tourism, number of arrivals",2020,
Finland,"International tourism, number of arrivals",2018,3224000
Finland,"International tourism, number of arrivals",2019,3290000
Finland,"International tourism, number of arrivals",2020,
Fiji,"International tourism, number of arrivals",2018,1058000
Fiji,"International tourism, number of arrivals",2019,969000
Fiji,"International tourism, number of arrivals",2020,
France,"International tourism, number of arrivals",2018,211998000
France,"International tourism, number of arrivals",2019,
France,"International tourism, number of arrivals",2020,
Faroe Islands,"International tourism, number of arrivals",2018,
Faroe Islands,"International tourism, number of arrivals",2019,
Faroe Islands,"International tourism, number of arrivals",2020,
"Micronesia, Fed. Sts.","International tourism, number of arrivals",2018,19200.0007629395
"Micronesia, Fed. Sts.","International tourism, number of arrivals",2019,18000
"Micronesia, Fed. Sts.","International tourism, number of arrivals",2020,
Gabon,"International tourism, number of arrivals",2018,
Gabon,"International tourism, number of arrivals",2019,
Gabon,"International tourism, number of arrivals",2020,
United Kingdom,"International tourism, number of arrivals",2018,40283000
United Kingdom,"International tourism, number of arrivals",2019,40857000
United Kingdom,"International tourism, number of arrivals",2020,
Georgia,"International tourism, number of arrivals",2018,7203000
Georgia,"International tourism, number of arrivals",2019,7726000
Georgia,"International tourism, number of arrivals",2020,
Ghana,"International tourism, number of arrivals",2018,
Ghana,"International tourism, number of arrivals",2019,
Ghana,"International tourism, number of arrivals",2020,
Gibraltar,"International tourism, number of arrivals",2018,
Gibraltar,"International tourism, number of arrivals",2019,
Gibraltar,"International tourism, number of arrivals",2020,
Guinea,"International tourism, number of arrivals",2018,
Guinea,"International tourism, number of arrivals",2019,
Guinea,"International tourism, number of arrivals",2020,
"Gambia, The","International tourism, number of arrivals",2018,552000
"Gambia, The","International tourism, number of arrivals",2019,619000
"Gambia, The","International tourism, number of arrivals",2020,
Guinea-Bissau,"International tourism, number of arrivals",2018,55000
Guinea-Bissau,"International tourism, number of arrivals",2019,52400.0015258789
Guinea-Bissau,"International tourism, number of arrivals",2020,
Equatorial Guinea,"International tourism, number of arrivals",2018,
Equatorial Guinea,"International tourism, number of arrivals",2019,
Equatorial Guinea,"International tourism, number of arrivals",2020,
Greece,"International tourism, number of arrivals",2018,33072000
Greece,"International tourism, number of arrivals",2019,34005000
Greece,"International tourism, number of arrivals",2020,
Grenada,"International tourism, number of arrivals",2018,529000
Grenada,"International tourism, number of arrivals",2019,526000
Grenada,"International tourism, number of arrivals",2020,
Greenland,"International tourism, number of arrivals",2018,
Greenland,"International tourism, number of arrivals",2019,
Greenland,"International tourism, number of arrivals",2020,
Guatemala,"International tourism, number of arrivals",2018,2406000
Guatemala,"International tourism, number of arrivals",2019,2560000
Guatemala,"International tourism, number of arrivals",2020,
Guam,"International tourism, number of arrivals",2018,1549000
Guam,"International tourism, number of arrivals",2019,1667000
Guam,"International tourism, number of arrivals",2020,
Guyana,"International tourism, number of arrivals",2018,287000
Guyana,"International tourism, number of arrivals",2019,315000
Guyana,"International tourism, number of arrivals",2020,
High income,"International tourism, number of arrivals",2018,1461393174.68516
High income,"International tourism, number of arrivals",2019,1487396175.77873
High income,"International tourism, number of arrivals",2020,
"Hong Kong SAR, China","International tourism, number of arrivals",2018,65148000
"Hong Kong SAR, China","International tourism, number of arrivals",2019,55913000
"Hong Kong SAR, China","International tourism, number of arrivals",2020,
Honduras,"International tourism, number of arrivals",2018,2323000
Honduras,"International tourism, number of arrivals",2019,2315000
Honduras,"International tourism, number of arrivals",2020,
Heavily indebted poor countries (HIPC),"International tourism, number of arrivals",2018,30172426.8899472
Heavily indebted poor countries (HIPC),"International tourism, number of arrivals",2019,
Heavily indebted poor countries (HIPC),"International tourism, number of arrivals",2020,
Croatia,"International tourism, number of arrivals",2018,57668000
Croatia,"International tourism, number of arrivals",2019,60021000
Croatia,"International tourism, number of arrivals",2020,
Haiti,"International tourism, number of arrivals",2018,1333000
Haiti,"International tourism, number of arrivals",2019,938000
Haiti,"International tourism, number of arrivals",2020,
Hungary,"International tourism, number of arrivals",2018,57667000
Hungary,"International tourism, number of arrivals",2019,61397000
Hungary,"International tourism, number of arrivals",2020,
IBRD only,"International tourism, number of arrivals",2018,817056600.091568
IBRD only,"International tourism, number of arrivals",2019,844994594.408097
IBRD only,"International tourism, number of arrivals",2020,
IDA & IBRD total,"International tourism, number of arrivals",2018,913483020.506311
IDA & IBRD total,"International tourism, number of arrivals",2019,948013547.284833
IDA & IBRD total,"International tourism, number of arrivals",2020,
IDA total,"International tourism, number of arrivals",2018,93659535.3508864
IDA total,"International tourism, number of arrivals",2019,101793852.130086
IDA total,"International tourism, number of arrivals",2020,
IDA blend,"International tourism, number of arrivals",2018,
IDA blend,"International tourism, number of arrivals",2019,
IDA blend,"International tourism, number of arrivals",2020,
Indonesia,"International tourism, number of arrivals",2018,15810000
Indonesia,"International tourism, number of arrivals",2019,16107000
Indonesia,"International tourism, number of arrivals",2020,
IDA only,"International tourism, number of arrivals",2018,70833719.9412822
IDA only,"International tourism, number of arrivals",2019,76844519.6247282
IDA only,"International tourism, number of arrivals",2020,
Isle of Man,"International tourism, number of arrivals",2018,
Isle of Man,"International tourism, number of arrivals",2019,
Isle of Man,"International tourism, number of arrivals",2020,
India,"International tourism, number of arrivals",2018,17423000
India,"International tourism, number of arrivals",2019,17914000
India,"International tourism, number of arrivals",2020,
Not classified,"International tourism, number of arrivals",2018,
Not classified,"International tourism, number of arrivals",2019,
Not classified,"International tourism, number of arrivals",2020,
Ireland,"International tourism, number of arrivals",2018,10926000
Ireland,"International tourism, number of arrivals",2019,10951000
Ireland,"International tourism, number of arrivals",2020,
"Iran, Islamic Rep.","International tourism, number of arrivals",2018,7295000
"Iran, Islamic Rep.","International tourism, number of arrivals",2019,9107000
"Iran, Islamic Rep.","International tourism, number of arrivals",2020,
Iraq,"International tourism, number of arrivals",2018,
Iraq,"International tourism, number of arrivals",2019,
Iraq,"International tourism, number of arrivals",2020,
Iceland,"International tourism, number of arrivals",2018,2488000
Iceland,"International tourism, number of arrivals",2019,2202000
Iceland,"International tourism, number of arrivals",2020,
Israel,"International tourism, number of arrivals",2018,4389000
Israel,"International tourism, number of arrivals",2019,4905000
Israel,"International tourism, number of arrivals",2020,
Italy,"International tourism, number of arrivals",2018,93228601.5625
Italy,"International tourism, number of arrivals",2019,95399000
Italy,"International tourism, number of arrivals",2020,
Jamaica,"International tourism, number of arrivals",2018,4319000
Jamaica,"International tourism, number of arrivals",2019,4233000
Jamaica,"International tourism, number of arrivals",2020,
Jordan,"International tourism, number of arrivals",2018,4922000
Jordan,"International tourism, number of arrivals",2019,5361000
Jordan,"International tourism, number of arrivals",2020,
Japan,"International tourism, number of arrivals",2018,31192000
Japan,"International tourism, number of arrivals",2019,31882000
Japan,"International tourism, number of arrivals",2020,
Kazakhstan,"International tourism, number of arrivals",2018,8789000
Kazakhstan,"International tourism, number of arrivals",2019,8515000
Kazakhstan,"International tourism, number of arrivals",2020,
Kenya,"International tourism, number of arrivals",2018,2025000
Kenya,"International tourism, number of arrivals",2019,2049000
Kenya,"International tourism, number of arrivals",2020,
Kyrgyz Republic,"International tourism, number of arrivals",2018,6947000
Kyrgyz Republic,"International tourism, number of arrivals",2019,8508000
Kyrgyz Republic,"International tourism, number of arrivals",2020,
Cambodia,"International tourism, number of arrivals",2018,6201000
Cambodia,"International tourism, number of arrivals",2019,6611000
Cambodia,"International tourism, number of arrivals",2020,
Kiribati,"International tourism, number of arrivals",2018,9000
Kiribati,"International tourism, number of arrivals",2019,12000
Kiribati,"International tourism, number of arrivals",2020,
St. Kitts and Nevis,"International tourism, number of arrivals",2018,1278000
St. Kitts and Nevis,"International tourism, number of arrivals",2019,1107000
St. Kitts and Nevis,"International tourism, number of arrivals",2020,
"Korea, Rep.","International tourism, number of arrivals",2018,15347000
"Korea, Rep.","International tourism, number of arrivals",2019,17503000
"Korea, Rep.","International tourism, number of arrivals",2020,
Kuwait,"International tourism, number of arrivals",2018,8508000
Kuwait,"International tourism, number of arrivals",2019,8565000
Kuwait,"International tourism, number of arrivals",2020,
Latin America & Caribbean (excluding high income),"International tourism, number of arrivals",2018,164605175.597947
Latin America & Caribbean (excluding high income),"International tourism, number of arrivals",2019,165231233.608795
Latin America & Caribbean (excluding high income),"International tourism, number of arrivals",2020,
Lao PDR,"International tourism, number of arrivals",2018,4186000
Lao PDR,"International tourism, number of arrivals",2019,4791000
Lao PDR,"International tourism, number of arrivals",2020,
Lebanon,"International tourism, number of arrivals",2018,1964000
Lebanon,"International tourism, number of arrivals",2019,1936000
Lebanon,"International tourism, number of arrivals",2020,
Liberia,"International tourism, number of arrivals",2018,
Liberia,"International tourism, number of arrivals",2019,
Liberia,"International tourism, number of arrivals",2020,
Libya,"International tourism, number of arrivals",2018,
Libya,"International tourism, number of arrivals",2019,
Libya,"International tourism, number of arrivals",2020,
St. Lucia,"International tourism, number of arrivals",2018,1165000
St. Lucia,"International tourism, number of arrivals",2019,1220000
St. Lucia,"International tourism, number of arrivals",2020,
Latin America & Caribbean,"International tourism, number of arrivals",2018,201521995.844666
Latin America & Caribbean,"International tourism, number of arrivals",2019,201852567.05797
Latin America & Caribbean,"International tourism, number of arrivals",2020,
Least developed countries: UN classification,"International tourism, number of arrivals",2018,39299842.5948526
Least developed countries: UN classification,"International tourism, number of arrivals",2019,41000895.3695198
Least developed countries: UN classification,"International tourism, number of arrivals",2020,
Low income,"International tourism, number of arrivals",2018,
Low income,"International tourism, number of arrivals",2019,
Low income,"International tourism, number of arrivals",2020,
Liechtenstein,"International tourism, number of arrivals",2018,85300.0030517578
Liechtenstein,"International tourism, number of arrivals",2019,98099.9984741211
Liechtenstein,"International tourism, number of arrivals",2020,
Sri Lanka,"International tourism, number of arrivals",2018,2521000
Sri Lanka,"International tourism, number of arrivals",2019,2027000
Sri Lanka,"International tourism, number of arrivals",2020,
Lower middle income,"International tourism, number of arrivals",2018,181776270.9619
Lower middle income,"International tourism, number of arrivals",2019,195888685.597107
Lower middle income,"International tourism, number of arrivals",2020,
Low & middle income,"International tourism, number of arrivals",2018,761857911.875624
Low & middle income,"International tourism, number of arrivals",2019,793124861.202572
Low & middle income,"International tourism, number of arrivals",2020,
Lesotho,"International tourism, number of arrivals",2018,1173000
Lesotho,"International tourism, number of arrivals",2019,1142000
Lesotho,"International tourism, number of arrivals",2020,
Late-demographic dividend,"International tourism, number of arrivals",2018,532235103.181661
Late-demographic dividend,"International tourism, number of arrivals",2019,549832276.924528
Late-demographic dividend,"International tourism, number of arrivals",2020,
Lithuania,"International tourism, number of arrivals",2018,6115000
Lithuania,"International tourism, number of arrivals",2019,6150000
Lithuania,"International tourism, number of arrivals",2020,
Luxembourg,"International tourism, number of arrivals",2018,1018000
Luxembourg,"International tourism, number of arrivals",2019,1041000
Luxembourg,"International tourism, number of arrivals",2020,
Latvia,"International tourism, number of arrivals",2018,7775000
Latvia,"International tourism, number of arrivals",2019,8342000
Latvia,"International tourism, number of arrivals",2020,
"Macao SAR, China","International tourism, number of arrivals",2018,35804000
"Macao SAR, China","International tourism, number of arrivals",2019,39406000
"Macao SAR, China","International tourism, number of arrivals",2020,
St. Martin (French part),"International tourism, number of arrivals",2018,
St. Martin (French part),"International tourism, number of arrivals",2019,
St. Martin (French part),"International tourism, number of arrivals",2020,
Morocco,"International tourism, number of arrivals",2018,12489000
Morocco,"International tourism, number of arrivals",2019,13109000
Morocco,"International tourism, number of arrivals",2020,
Monaco,"International tourism, number of arrivals",2018,347000
Monaco,"International tourism, number of arrivals",2019,363000
Monaco,"International tourism, number of arrivals",2020,
Moldova,"International tourism, number of arrivals",2018,160000
Moldova,"International tourism, number of arrivals",2019,174000
Moldova,"International tourism, number of arrivals",2020,
Madagascar,"International tourism, number of arrivals",2018,360000
Madagascar,"International tourism, number of arrivals",2019,486000
Madagascar,"International tourism, number of arrivals",2020,
Maldives,"International tourism, number of arrivals",2018,1484000
Maldives,"International tourism, number of arrivals",2019,1703000
Maldives,"International tourism, number of arrivals",2020,
Middle East & North Africa,"International tourism, number of arrivals",2018,118827483.343392
Middle East & North Africa,"International tourism, number of arrivals",2019,127987047.716571
Middle East & North Africa,"International tourism, number of arrivals",2020,
Mexico,"International tourism, number of arrivals",2018,96497000
Mexico,"International tourism, number of arrivals",2019,97406000
Mexico,"International tourism, number of arrivals",2020,
Marshall Islands,"International tourism, number of arrivals",2018,6800.00019073486
Marshall Islands,"International tourism, number of arrivals",2019,6099.99990463257
Marshall Islands,"International tourism, number of arrivals",2020,
Middle income,"International tourism, number of arrivals",2018,727071180.446905
Middle income,"International tourism, number of arrivals",2019,757080293.589817
Middle income,"International tourism, number of arrivals",2020,
North Macedonia,"International tourism, number of arrivals",2018,707000
North Macedonia,"International tourism, number of arrivals",2019,758000
North Macedonia,"International tourism, number of arrivals",2020,
Mali,"International tourism, number of arrivals",2018,203000
Mali,"International tourism, number of arrivals",2019,217000
Mali,"International tourism, number of arrivals",2020,
Malta,"International tourism, number of arrivals",2018,3232000
Malta,"International tourism, number of arrivals",2019,3519000
Malta,"International tourism, number of arrivals",2020,
Myanmar,"International tourism, number of arrivals",2018,3551000
Myanmar,"International tourism, number of arrivals",2019,4364000
Myanmar,"International tourism, number of arrivals",2020,
Middle East & North Africa (excluding high income),"International tourism, number of arrivals",2018,60463911.8981752
Middle East & North Africa (excluding high income),"International tourism, number of arrivals",2019,67608256.1787089
Middle East & North Africa (excluding high income),"International tourism, number of arrivals",2020,
Montenegro,"International tourism, number of arrivals",2018,2077000
Montenegro,"International tourism, number of arrivals",2019,2510000
Montenegro,"International tourism, number of arrivals",2020,
Mongolia,"International tourism, number of arrivals",2018,598000
Mongolia,"International tourism, number of arrivals",2019,637000
Mongolia,"International tourism, number of arrivals",2020,
Northern Mariana Islands,"International tourism, number of arrivals",2018,518000
Northern Mariana Islands,"International tourism, number of arrivals",2019,487000
Northern Mariana Islands,"International tourism, number of arrivals",2020,
Mozambique,"International tourism, number of arrivals",2018,2870000
Mozambique,"International tourism, number of arrivals",2019,2033000
Mozambique,"International tourism, number of arrivals",2020,
Mauritania,"International tourism, number of arrivals",2018,
Mauritania,"International tourism, number of arrivals",2019,
Mauritania,"International tourism, number of arrivals",2020,
Mauritius,"International tourism, number of arrivals",2018,1431000
Mauritius,"International tourism, number of arrivals",2019,1418000
Mauritius,"International tourism, number of arrivals",2020,
Malawi,"International tourism, number of arrivals",2018,871000
Malawi,"International tourism, number of arrivals",2019,
Malawi,"International tourism, number of arrivals",2020,
Malaysia,"International tourism, number of arrivals",2018,25832000
Malaysia,"International tourism, number of arrivals",2019,26101000
Malaysia,"International tourism, number of arrivals",2020,
North America,"International tourism, number of arrivals",2018,201364921.875
North America,"International tourism, number of arrivals",2019,199244000
North America,"International tourism, number of arrivals",2020,
Namibia,"International tourism, number of arrivals",2018,1639000
Namibia,"International tourism, number of arrivals",2019,1651000
Namibia,"International tourism, number of arrivals",2020,
New Caledonia,"International tourism, number of arrivals",2018,576000
New Caledonia,"International tourism, number of arrivals",2019,474000
New Caledonia,"International tourism, number of arrivals",2020,
Niger,"International tourism, number of arrivals",2018,157000
Niger,"International tourism, number of arrivals",2019,192000
Niger,"International tourism, number of arrivals",2020,
Nigeria,"International tourism, number of arrivals",2018,
Nigeria,"International tourism, number of arrivals",2019,
Nigeria,"International tourism, number of arrivals",2020,
Nicaragua,"International tourism, number of arrivals",2018,1412000
Nicaragua,"International tourism, number of arrivals",2019,1455000
Nicaragua,"International tourism, number of arrivals",2020,
Netherlands,"International tourism, number of arrivals",2018,18780000
Netherlands,"International tourism, number of arrivals",2019,20129000
Netherlands,"International tourism, number of arrivals",2020,
Norway,"International tourism, number of arrivals",2018,5688000
Norway,"International tourism, number of arrivals",2019,5879000
Norway,"International tourism, number of arrivals",2020,
Nepal,"International tourism, number of arrivals",2018,1173000
Nepal,"International tourism, number of arrivals",2019,1197000
Nepal,"International tourism, number of arrivals",2020,
Nauru,"International tourism, number of arrivals",2018,
Nauru,"International tourism, number of arrivals",2019,
Nauru,"International tourism, number of arrivals",2020,
New Zealand,"International tourism, number of arrivals",2018,3858000
New Zealand,"International tourism, number of arrivals",2019,3888000
New Zealand,"International tourism, number of arrivals",2020,
